column,unique_values,top_value,top_pct,rare_categories,non_null
sample_id,707,G102216,0.1%,707,707
subject_id,516,M0084C,0.7%,440,707
NCBI_accession,352,SRR7281027,0.3%,352,352
family,80,YassourM_2018_M0018C,1.8%,4,271
country,4,NLD,50.2%,0,707
location,4,Toronto,33.3%,0,81
disease,4,IBD,50.2%,0,707
study_condition,4,IBD,50.2%,0,707
DNA_extraction_kit,3,Qiagen,50.2%,0,707
disease_subtype,3,CD,60.8%,0,355
study_name,3,VilaAV_2018,50.2%,0,707
age_category,3,adult,75.0%,0,707
curator,3,Ilya_Likhotkin;Paolo_Mang,50.2%,0,707
born_method,2,vaginal,85.8%,0,155
feeding_practice,2,exclusively_breastfeeding,53.0%,0,151
gender,2,female,65.6%,0,707
fobt,2,no,82.7%,0,81
family_role,2,child,57.2%,0,271
pregnant,2,no,84.5%,0,271
body_site,1,stool,100.0%,0,707
antibiotics_current_use,1,no,100.0%,0,81
sequencing_platform,1,IlluminaHiSeq,100.0%,0,707
non_westernized,1,no,100.0%,0,707
population,1,Dutch,100.0%,0,355
